Id,SalePrice
1461,147096.8522
1462,87061.20436
1463,191282.5294
1464,193048.2714
1465,170970.8039
1466,174997.2519
1467,174962.032
1468,155894.3097
1469,181242.1091
1470,143207.8088
1471,191415.2889
1472,140832.6867
1473,140650.9331
1474,166013.7339
1475,112211.3692
1476,261997.2326
1477,212622.1996
1478,246919.2624
1479,233853.299
1480,390911.2123
1481,273464.5833
1482,183218.9351
1483,168908.3718
1484,153943.2537
1485,141297.141
1486,180322.7954
1487,282554.6765
1488,219360.7755
1489,167274.1592
1490,208025.1003
1491,184029.93
1492,126788.0698
1493,174795.9856
1494,251646.5224
1495,259844.148
1496,203034.6341
1497,176193.5673
1498,146587.5169
1499,141431.4606
1500,153309.5884
1501,206099.2023
1502,127859.4232
1503,225564.5264
1504,211958.265
1505,209790.0425
1506,225291.1887
1507,263668.3358
1508,213140.5474
1509,167226.4639
1510,179469.1724
1511,163408.0623
1512,214421.5441
1513,164508.171
1514,209611.1662
1515,234075.9905
1516,173532.3139
1517,156743.7453
1518,193895.8753
1519,229427.5925
1520,154820.2764
1521,163891.2265
1522,205713.3887
1523,140974.5921
1524,130345.7934
1525,127080.6574
1526,133322.5421
1527,121646.6241
1528,154314.8869
1529,152692.4867
1530,214137.1636
1531,197088.4208
1532,113654.1037
1533,156365.4737
1534,134456.0859
1535,173667.1412
1536,131185.6501
1537,122222.2137
1538,159660.5619
1539,188587.2346
1540,183740.9462
1541,161235.6999
1542,173841.6909
1543,197344.187
1544,107063.8183
1545,120516.5818
1546,134625.0925
1547,163831.4645
1548,155388.0816
1549,139698.2493
1550,168128.7937
1551,141378.3448
1552,183677.9812
1553,164337.2216
1554,126417.8338
1555,200916.1462
1556,118019.3903
1557,153022.5452
1558,109852.107
1559,148265.2064
1560,182366.0405
1561,206868.5503
1562,119687.3803
1563,132860.6508
1564,184522.2172
1565,159050.0896
1566,218912.5183
1567,109517.4588
1568,241330.8109
1569,160871.6617
1570,120085.4527
1571,130179.0954
1572,167379.2825
1573,207655.7115
1574,164495.1449
1575,219895.071
1576,236258.7301
1577,165413.5083
1578,152552.9524
1579,145192.0464
1580,178617.6013
1581,141499.4568
1582,128435.8131
1583,280192.0187
1584,221853.0663
1585,138185.0558
1586,65676.49688
1587,102270.7264
1588,164491.6979
1589,138858.8305
1590,140358.5627
1591,112891.8526
1592,153013.2874
1593,125215.5426
1594,169779.3319
1595,158778.0356
1596,231509.9319
1597,230087.7038
1598,160230.9459
1599,153923.0815
1600,160318.2932
1601,84632.8279
1602,144315.4963
1603,105928.2532
1604,227046.1233
1605,211351.4329
1606,181824.6854
1607,236344.8799
1608,183300.0993
1609,157592.7337
1610,139982.0394
1611,154476.5838
1612,180113.9314
1613,186621.5106
1614,138666.4152
1615,116524.0346
1616,105967.26
1617,117212.8169
1618,122918.6326
1619,133159.3167
1620,233829.4756
1621,149177.1065
1622,159062.7884
1623,215186.7463
1624,221529.1465
1625,132146.8256
1626,209157.4123
1627,191320.7504
1628,242351.1826
1629,148317.8243
1630,295049.4457
1631,188420.0832
1632,209818.9864
1633,144139.5498
1634,178317.0843
1635,162099.6139
1636,152296.7442
1637,224274.6137
1638,215675.8735
1639,206989.5743
1640,256294.5109
1641,191972.0851
1642,196564.5636
1643,196310.9506
1644,194630.511
1645,227278.835
1646,166333.5851
1647,162289.8138
1648,150827.114
1649,146345.2096
1650,141474.7147
1651,135997.9381
1652,131066.8314
1653,123011.6172
1654,164731.8179
1655,133514.596
1656,158456.9304
1657,164843.3454
1658,162310.3881
1659,125102.5765
1660,150388.4642
1661,332146.1926
1662,280971.5871
1663,289236.2287
1664,360290.299
1665,244702.7884
1666,260951.1779
1667,284286.7687
1668,251909.1009
1669,217970.3846
1670,257121.9624
1671,255555.9713
1672,342124.6667
1673,245832.1572
1674,231723.4811
1675,196600.5871
1676,191961.9002
1677,195137.609
1678,361952.5941
1679,303454.878
1680,256143.1633
1681,208469.6373
1682,251827.6461
1683,184367.3493
1684,155707.3544
1685,155821.8707
1686,156118.5325
1687,135728.6959
1688,182159.9422
1689,178406.8874
1690,164264.3972
1691,154084.6339
1692,206737.3293
1693,133201.3677
1694,166277.0085
1695,134003.6259
1696,258051.825
1697,134413.4526
1698,294972.055
1699,260758.1414
1700,236241.3616
1701,254384.9269
1702,233761.8999
1703,222458.1943
1704,241529.5704
1705,202072.0352
1706,326051.2901
1707,180947.3203
1708,189248.9434
1709,221176.759
1710,195153.4211
1711,212678.1589
1712,230909.6646
1713,231699.8635
1714,204282.6287
1715,179692.9958
1716,164497.4066
1717,155632.8107
1718,133639.7852
1719,187906.2989
1720,211876.8794
1721,163108.7304
1722,130900.8348
1723,160858.0227
1724,195508.4007
1725,218529.7514
1726,178327.3778
1727,168455.1809
1728,159498.1502
1729,158841.8058
1730,149430.3017
1731,119684.0553
1732,147269.2922
1733,135927.0127
1734,141819.1999
1735,126433.8529
1736,114104.7538
1737,288254.4223
1738,215753.532
1739,265233.2007
1740,221678.0821
1741,185048.5972
1742,182630.5905
1743,167834.7555
1744,264296.5045
1745,210066.431
1746,205345.6564
1747,214854.3488
1748,248913.4345
1749,181353.3693
1750,168769.3881
1751,244128.4972
1752,123048.7461
1753,192396.806
1754,231990.043
1755,195713.5103
1756,134821.7491
1757,120143.8824
1758,175737.001
1759,186269.9685
1760,185697.2412
1761,185376.8842
1762,191230.0712
1763,182477.537
1764,125479.4998
1765,206190.0986
1766,205086.9005
1767,230396.678
1768,168973.4669
1769,167662.3615
1770,141706.9795
1771,145499.2066
1772,170838.7131
1773,139404.7409
1774,241680.3849
1775,142179.9421
1776,136937.2904
1777,114797.9051
1778,138945.755
1779,117437.5733
1780,157166.2846
1781,153670.6727
1782,112434.1751
1783,156765.1196
1784,104518.5314
1785,136169.1703
1786,164569.5791
1787,157893.8364
